Pleknaam	Historical Name	(GvH) Opmerking	(GvH) Wisselvorme	(GvH) Land	Province	(GvH) Kategorie	Description	latitude	longitude
Boskop				RSA	Free State	Dorp	Kop	-28.9963888888889	25.4072222222222
Boskop				RSA	Free State	Dorp	Kop	-28.3583333333333	26.1658333333333
Boskop				RSA	Free State	Dorp	Kop	-28.2441666666667	26.8516666666667
Boskop				RSA	Free State	Dorp	Kop	-29.3613888888889	25.9413888888889
Boskop				RSA	Northern Cape	Dorp	Kop	-30.2447222222222	20.6802777777778
Boskop				RSA	Northern Cape	Dorp	Kop	-30.5038888888889	24.7688888888889
Boskop				RSA	Free State	Dorp	Kop	-30.3838888888889	27.1311111111111
Boskop				RSA	Northern Cape	Dorp	Kop	-31.675	19.1130555555556
Boskop				RSA	Northern Cape	Dorp	Kop	-31.9669444444444	19.6769444444444
Boskop				RSA	Northern Cape	Dorp	Kop	-31.0113888888889	22.6119444444444
Boskop				RSA	Western Cape	Dorp	Kop	-32.7919444444444	22.3613888888889
Boskop				RSA	Western Cape	Dorp	Kop	-33.8125	20.2522222222222
Boskop				RSA	Western Cape	Dorp	Kop	-33.4319444444444	21.7308333333333
Boskop				RSA	Western Cape	Dorp	Kop	-33.0858333333333	22.1686111111111
Boskop				RSA	Western Cape	Dorp	Kop	-33.8602777777778	23.1402777777778
Boskop				RSA	Western Cape	Dorp	Kop	-34.3908333333333	19.4463888888889
Boskop				RSA	Western Cape	Dorp	Kop	-34.1377777777778	20.3111111111111
Boskop				RSA	Western Cape	Dorp	Kop	-34.2169444444444	20.7819444444444
Boskop				RSA	Western Cape	Dorp	Kop	-34.3488888888889	21.3572222222222
Bosmont				RSA	Gauteng	Voorstad	Station	-26.1830555555556	27.9516666666667
Bosmont				RSA	Gauteng	Voorstad	Town	-26.1911111111111	27.955
Botha's Hill				RSA	KwaZulu-Natal	Dorp	Town	-29.735	30.7355555555556
Botha's Hill				RSA	KwaZulu-Natal	Dorp	Station	-29.7541666666667	30.745
Botha's Hill				RSA	KwaZulu-Natal	Dorp	Town	-29.7588888888889	30.7552777777778
Botha's Hill				RSA	Eastern Cape	Dorp	Kop	-33.2419444444444	26.5869444444444
Bothasig				RSA	Western Cape	Voorstad	Urban Area	-33.1486111111111	18.66
Bothasig				RSA	Western Cape	Voorstad	Urban Area	-33.8594444444444	18.5411111111111
Bothaville				RSA	Free State	Dorp	Urban Area	-27.3888888888889	26.6166666666667
Bothaville				RSA	Free State	Dorp	Station	-27.3819444444444	26.6208333333333
Botrivier				RSA	Western Cape	Dorp	Station	-34.2266666666667	19.2061111111111
Botrivier				RSA	Western Cape	Dorp	Urban Area	-34.2258333333333	19.205
Botrivier				RSA	Western Cape	Dorp	Mouth	-34.3680555555556	19.0988888888889
Botshabelo				RSA	Limpopo	Gebied-Dorp;Sendingplek	Town	-23.4302777777778	30.5166666666667
Botshabelo				RSA	Limpopo	Gebied-Dorp;Sendingplek	Group of huts	-24.3711111111111	30.03
Botshabelo				RSA	North West	Gebied-Dorp;Sendingplek	Group of huts	-25.7997222222222	25.2630555555556
Botshabelo				RSA	Mpumalanga	Gebied-Dorp;Sendingplek	Town	-25.7019444444444	29.4116666666667
Botshabelo				RSA	Free State	Gebied-Dorp;Sendingplek	Urban Area	-29.2319444444444	26.6919444444444
Bowker's Bay				RSA	Eastern Cape	Baai	Bay	-32.5525	28.5547222222222
Braamfontein				RSA	Gauteng	Voorstad	Town	-26.1911111111111	28.0377777777778
Braamfontein				RSA	Gauteng	Voorstad	Station	-26.1975	28.0227777777778
Brackenfell				RSA	Western Cape	Dorp	Station	-33.8811111111111	18.6886111111111
Brackenfell				RSA	Western Cape	Dorp	Urban Area	-33.8830555555556	18.7
Braemar				RSA	KwaZulu-Natal	Dorp	Station	-30.3152777777778	30.5488888888889
Braemar				RSA	KwaZulu-Natal	Dorp	Area	-30.3125	30.5511111111111
Brakpan				RSA	Limpopo	Dorp	Non_Perennial	-23.6777777777778	27.2538888888889
Brakpan				RSA	Limpopo	Dorp	Non_Perennial	-23.9361111111111	27.2847222222222
Brakpan				RSA	North West	Dorp	Non_Perennial	-26.6044444444444	26.34
Brakpan				RSA	Gauteng	Dorp	Station	-26.24	28.3611111111111
Brakpan				RSA	Gauteng	Dorp	Urban Area	-26.2352777777778	28.37
Brakpan				RSA	Northern Cape	Dorp	Dry	-27.0458333333333	20.4463888888889
Brakpan				RSA	Northern Cape	Dorp	Dry	-27.0058333333333	20.5780555555556
